iter	Logloss
0	0.6687154817
1	0.6451199979
2	0.6236384317
3	0.6060045796
4	0.5905823239
5	0.5758732218
6	0.5636403518
7	0.551031612
8	0.5399396793
9	0.5311166925
10	0.5213946884
11	0.5118388088
12	0.5039635036
13	0.4950777032
14	0.4879607615
15	0.476371046
16	0.4706710804
17	0.4639929803
18	0.4595650415
19	0.4482489418
20	0.4428064859
21	0.436707232
22	0.4279034197
23	0.423745232
24	0.4209961092
25	0.415008695
26	0.4071466023
27	0.4012835231
28	0.3985263912
29	0.3964987801
30	0.3912415989
31	0.3883781586
32	0.3841055797
33	0.3757070793
34	0.3706567464
35	0.3683490688
36	0.3663670321
37	0.3644266807
38	0.3606113224
39	0.3580226096
40	0.3542146423
41	0.3523609189
42	0.3461074952
43	0.3445414496
44	0.3414985262
45	0.3398520484
46	0.3385699123
47	0.3367760187
48	0.335534201
49	0.3339528859
50	0.3331238008
51	0.3317781561
52	0.330764637
53	0.3297282754
54	0.3281517979
55	0.3234846559
56	0.3229039287
57	0.3193896421
58	0.3172482046
59	0.3161163534
60	0.3127488355
61	0.311806906
62	0.3107616942
63	0.3095278489
64	0.3087402881
65	0.3073881697
66	0.305887367
67	0.3049750509
68	0.3040512503
69	0.3036046028
70	0.3025974752
71	0.3013979508
72	0.3010528056
73	0.3007099482
74	0.3004172086
75	0.2993533874
76	0.2979113877
77	0.2972175273
78	0.2965389591
79	0.295707876
80	0.2949386962
81	0.2946567784
82	0.2940388988
83	0.2927558109
84	0.2917588374
85	0.2908462981
86	0.2898172844
87	0.2870616232
88	0.2858763874
89	0.2855555277
90	0.2845086218
91	0.2841467916
92	0.2838671775
93	0.2833247642
94	0.2825457512
95	0.2812981868
96	0.2810409122
97	0.2808313913
98	0.2802771506
99	0.2796091392
100	0.2791865018
101	0.2785746663
102	0.2780964888
103	0.2778549695
104	0.2772935824
105	0.2769179882
106	0.2767132303
107	0.2763203939
108	0.276100341
109	0.2758485295
110	0.2756476028
111	0.274848631
112	0.2744130327
113	0.2737309913
114	0.2725865743
115	0.2724325333
116	0.2722775085
117	0.2718664165
118	0.2711532037
119	0.2710156549
120	0.2708327283
121	0.2702562456
122	0.2698598258
123	0.269588332
124	0.2685860916
125	0.2683333089
126	0.2681671886
127	0.26789808
128	0.2677521381
129	0.26736221
130	0.2670197644
131	0.2666239666
132	0.2661646116
133	0.2657864864
134	0.2653678483
135	0.2652488384
136	0.2650072373
137	0.2649144007
138	0.2646333769
139	0.2643171199
140	0.2638692613
141	0.2632551957
142	0.262937226
143	0.2627938852
144	0.2624917365
145	0.2623405924
146	0.2620815005
147	0.2619464559
148	0.2616803631
149	0.2615346738
150	0.2614112591
151	0.2610879512
152	0.2608451332
153	0.2607193121
154	0.2605461197
155	0.2604242671
156	0.2591594987
157	0.258977084
158	0.2579978969
159	0.2578275787
160	0.2573813891
161	0.2570258129
162	0.2567290801
163	0.2562530383
164	0.2560942652
165	0.2555039318
166	0.2550000051
167	0.2548667578
168	0.2546175689
169	0.2545171844
170	0.2543715261
171	0.2542278482
172	0.2538836452
173	0.2536546322
174	0.2535738857
175	0.2534963788
176	0.2527654126
177	0.2526499835
178	0.2524993153
179	0.2523638595
180	0.2522890276
181	0.2521907276
182	0.2517852466
183	0.2515018561
184	0.2511940435
185	0.2510708309
186	0.2509668736
187	0.2508399992
188	0.2507535692
189	0.2505381515
190	0.25026832
191	0.2500966549
192	0.2499278931
193	0.2498115071
194	0.2497177978
195	0.2496083436
196	0.2494225208
197	0.2493098589
198	0.2489709827
199	0.2488295015
200	0.2487387752
201	0.248637499
202	0.2485459202
203	0.2480851167
204	0.2479939675
205	0.2479188023
206	0.2478416259
207	0.2477656965
208	0.2476976577
209	0.2473071822
210	0.2469951794
211	0.2469325278
212	0.2467428295
213	0.2466590214
214	0.2465853797
215	0.2465099385
216	0.2463339551
217	0.2461897567
218	0.2461192752
219	0.246015778
220	0.2458072301
221	0.2457209322
222	0.2453760108
223	0.2452602288
224	0.2451698216
225	0.2450251408
226	0.2447628903
227	0.2446611055
228	0.244507653
229	0.2444266766
230	0.244229317
231	0.2441042238
232	0.2439365647
233	0.2437724637
234	0.2437103852
235	0.2436410198
236	0.243362868
237	0.2430503072
238	0.242731609
239	0.242630518
240	0.2425426709
241	0.2424559456
242	0.2421731392
243	0.2421146113
244	0.2418482239
245	0.2415897062
246	0.2413182439
247	0.2412479885
248	0.2412000601
249	0.2410905404
250	0.2410251217
251	0.2409672587
252	0.2408759657
